feature,ks_statistic,p_value,drift_detected
sensor_3,0.1678,0.0,True
sensor_4,0.2106,0.0,True
sensor_2,0.1794,0.0,True
sensor_13,0.1564,0.0,True
sensor_11,0.2108,0.0,True
sensor_9,0.1353,0.0,True
sensor_8,0.1563,0.0,True
sensor_7,0.1948,0.0,True
sensor_12,0.1994,0.0,True
sensor_3_roll_mean,0.2157,0.0,True
sensor_4_roll_mean,0.2302,0.0,True
sensor_20,0.1847,0.0,True
sensor_21,0.1934,0.0,True
sensor_17,0.1811,0.0,True
sensor_15,0.1942,0.0,True
sensor_14,0.1156,0.0,True
sensor_2_roll_mean,0.2194,0.0,True
sensor_12_trend,0.0355,0.0,True
sensor_13_roll_mean,0.1718,0.0,True
sensor_14_roll_std,0.0313,0.0,True
sensor_14_roll_mean,0.1178,0.0,True
sensor_20_roll_mean,0.2147,0.0,True
sensor_15_roll_mean,0.2248,0.0,True
sensor_9_trend,0.0494,0.0,True
sensor_9_roll_mean,0.1374,0.0,True
sensor_11_trend,0.0399,0.0,True
sensor_11_roll_mean,0.226,0.0,True
sensor_8_roll_mean,0.1674,0.0,True
sensor_7_roll_mean,0.2152,0.0,True
sensor_6_roll_std,0.0437,0.0,True
sensor_6_roll_mean,0.0434,0.0,True
sensor_4_trend,0.0323,0.0,True
sensor_17_roll_mean,0.223,0.0,True
sensor_14_trend,0.0492,0.0,True
sensor_12_roll_mean,0.2241,0.0,True
sensor_21_roll_mean,0.2239,0.0,True
vibration_energy_proxy,0.1274,0.0,True
temperature_gradient,0.2058,0.0,True
operating_hours,0.2066,0.0,True
sensor_15_trend,0.0292,2e-06,True
sensor_13_trend,0.0289,3e-06,True
sensor_21_roll_std,0.0285,4e-06,True
sensor_20_trend,0.0281,6e-06,True
sensor_7_trend,0.0277,9e-06,True
sensor_8_roll_std,0.0268,2e-05,True
sensor_2_trend,0.0227,0.000515,True
sensor_17_trend,0.0219,0.000898,True
sensor_21_trend,0.0206,0.002188,True
sensor_8_trend,0.0202,0.002807,True
sensor_7_roll_std,0.0191,0.005582,True
sensor_3_trend,0.0187,0.007392,True
sensor_20_roll_std,0.0186,0.007637,True
sensor_13_roll_std,0.0169,0.019958,True
sensor_3_roll_std,0.0167,0.022707,True
sensor_9_roll_std,0.0157,0.03815,True
sensor_2_roll_std,0.0149,0.056724,False
sensor_17_roll_std,0.0148,0.058245,False
sensor_15_roll_std,0.0144,0.071841,False
sensor_12_roll_std,0.0138,0.092767,False
sensor_6,0.0103,0.366237,False
sensor_6_trend,0.0095,0.468745,False
sensor_4_roll_std,0.009,0.528709,False
sensor_11_roll_std,0.0071,0.814097,False
op_setting_1,0.0064,0.898046,False
op_setting_2,0.0041,0.999254,False
sensor_10,0.0,1.0,False
sensor_1,0.0,1.0,False
op_setting_3,0.0,1.0,False
sensor_16,0.0,1.0,False
sensor_18,0.0,1.0,False
sensor_19,0.0,1.0,False
sensor_5,0.0,1.0,False
